date,OT
2023-10-04 02:54:00,2917
2023-10-04 02:55:00,3353
2023-10-04 02:56:00,5400
2023-10-04 02:57:00,5395
2023-10-04 02:58:00,5229
2023-10-04 02:59:00,5371
2023-10-04 03:00:00,4185
2023-10-04 03:01:00,2724
2023-10-04 03:02:00,3590
2023-10-04 03:03:00,5367
2023-10-04 03:04:00,5440
2023-10-04 03:05:00,5465
2023-10-04 03:06:00,5318
2023-10-04 03:07:00,4225
2023-10-04 03:08:00,2687
2023-10-04 03:09:00,3791
2023-10-04 03:10:00,5661
2023-10-04 03:11:00,5759
2023-10-04 03:12:00,5599
2023-10-04 03:13:00,5103
2023-10-04 03:14:00,4313
2023-10-04 03:15:00,2971
2023-10-04 03:16:00,3662
2023-10-04 03:17:00,5635
2023-10-04 03:18:00,5581
2023-10-04 03:19:00,5329
2023-10-04 03:20:00,4553
2023-10-04 03:21:00,3423
2023-10-04 03:22:00,2708
2023-10-04 03:23:00,3306
2023-10-04 03:24:00,5203
2023-10-04 03:25:00,5712
2023-10-04 03:26:00,5601
2023-10-04 03:27:00,5486
2023-10-04 03:28:00,4178
2023-10-04 03:29:00,2878
2023-10-04 03:30:00,4169
2023-10-04 03:31:00,6372
2023-10-04 03:32:00,6240
2023-10-04 03:33:00,6170
2023-10-04 03:34:00,6071
2023-10-04 03:35:00,4682
2023-10-04 03:36:00,3208
2023-10-04 03:37:00,4310
2023-10-04 03:38:00,6435
2023-10-04 03:39:00,6299
2023-10-04 03:40:00,6360
2023-10-04 03:41:00,6349
2023-10-04 03:42:00,4660
2023-10-04 03:43:00,3354
2023-10-04 03:44:00,4371
2023-10-04 03:45:00,6534
2023-10-04 03:46:00,6832
2023-10-04 03:47:00,6689
2023-10-04 03:48:00,5849
2023-10-04 03:49:00,4247
2023-10-04 03:50:00,3219
2023-10-04 03:51:00,4211
2023-10-04 03:52:00,6424
2023-10-04 03:53:00,6223
2023-10-04 03:54:00,6551
2023-10-04 03:55:00,6343
2023-10-04 03:56:00,4696
2023-10-04 03:57:00,3134
2023-10-04 03:58:00,3868
2023-10-04 03:59:00,6020
2023-10-04 04:00:00,5705
2023-10-04 04:01:00,5752
2023-10-04 04:02:00,5181
2023-10-04 04:03:00,4269
2023-10-04 04:04:00,2633
2023-10-04 04:05:00,3336
2023-10-04 04:06:00,5127
2023-10-04 04:07:00,5449
2023-10-04 04:08:00,5746
2023-10-04 04:09:00,5115
2023-10-04 04:10:00,3995
2023-10-04 04:11:00,2618
2023-10-04 04:12:00,2961
2023-10-04 04:13:00,4090
2023-10-04 04:14:00,5201
2023-10-04 04:15:00,5321
2023-10-04 04:16:00,5219
2023-10-04 04:17:00,4017
2023-10-04 04:18:00,2297
2023-10-04 04:19:00,3145
2023-10-04 04:20:00,4905
2023-10-04 04:21:00,4747
2023-10-04 04:22:00,4591
